longitud,latitud,Enotourism,valoracion,n_valoraciones,esta_trip,total_visits_similar,Antiguedad.empresa,Tamaño,Productividad,Rentabilidad
-1.53215004,41.8349818,0,4.4,21.0,0,3100.0,22,2.36350184394276,1.2529894768717,0.731721867721955
2.92509032,39.87040178,0,4.6,127.0,1,328.0,23,-0.742068059813294,-0.559176178707381,0.240741739952552
1.6422209,41.6068791,1,4.7,13.0,0,7700.0,39,0.510409880714899,-0.415146636863858,0.0764287914991633
2.17052,41.38934,0,,,0,19400.0,39,0.0678794978844767,-0.380712861138113,-0.141661120092112
1.61537,41.35202,0,4.9,54.0,0,9500.0,39,-1.21992150933483,0.0684256060495665,0.0352545862854499
1.89921129,41.45050089,1,4.8,117.0,1,13200.0,38,0.240015741099604,0.328591810893381,-0.0202422102189111
1.65174355,41.4141603,1,,,0,3500.0,37,-1.30397960817974,-0.158107875821329,-0.123321028057475
1.79006877,41.4247105,1,,,0,2900.0,37,3.18030784760167,-0.113021378986801,0.327334368734853
1.72743056,41.32061142,1,3.8,22.0,0,425.0,37,-2.05744178536566,-2.0651255739762,-0.389795203257615
1.78433,41.42323,1,4.9,63.0,1,4400.0,36,-0.941712166132489,0.755658311476019,-0.442696371810623
1.8376,41.49818,0,4.5,20.0,1,1700.0,36,-0.396024530946803,0.634058179163014,-0.382140499554014
1.78993,41.42584,0,,,0,208.0,36,-0.443839596882781,0.6685106057004,0.057416597402837
1.78888591,41.42595302,0,5.0,5.0,0,,36,-1.46452539174772,-2.12876954409643,-0.810218096444329
2.154544,41.407627,1,,,0,9800.0,36,-0.520591369930067,-0.118029303287624,0.279951125095807
1.65045,41.41487,1,4.9,39.0,0,802.0,34,-0.905685219164708,0.630631286333212,-0.0897516621853587
-8.77054996,42.49851661,1,3.7,27.0,0,16500.0,39,1.33846628895161,1.78267542378716,-0.195347778120861
-3.64080598,41.5915137,1,4.8,20.0,1,3700.0,37,-0.487976034097194,-0.0157977873018357,-0.153906968918953
-4.76174046,37.12276279,1,4.5,30.0,0,12200.0,37,3.33022955452956,-0.616015961920311,0.190761881749005
-1.75000203,42.12737133,0,,,0,,36,0.184569024802501,0.349895612200158,-0.450773590628986
-2.67423,42.84438,0,,,0,2900.0,36,0.489690655271979,-1.07439658917066,0.333255005506031
-3.69,40.41637,1,,,0,21500.0,31,7.43568320274055,-1.8472308125482,1.06244139973601
-4.01517902,41.5755421,0,4.5,10.0,0,1200.0,24,1.14581219289115,3.06512050841684,-1.68624649325853
-3.69075,40.44476,0,,,0,2900.0,22,-0.255063003322851,-0.883130110016738,-0.313724958190591
-3.386554,38.937974,1,,,0,59800.0,21,8.76152296866698,-3.00703330045228,0.372016713966935
-3.68752,40.45127,0,,,0,,19,-1.72394769383081,-1.11510925317095,0.184859764673289
-1.188343,39.539181,0,4.5,13.0,0,,13,-1.85624386828659,-1.70835476504276,-0.259818585117612
-3.68192,40.46731,1,,,0,27800.0,52,2.99057842138324,-3.32416699128742,-0.396517135153293
-2.61818,42.51605,1,,,0,2800.0,36,-0.901994978765447,0.212595751190575,0.0148825144825732
-2.68481,42.56695,1,4.6,88.0,1,8500.0,22,1.70066881478509,1.33534903478854,0.0814802436052399
-2.58622,42.55914,0,4.8,73.0,0,5400.0,40,1.39783075195356,0.928001398045916,-0.306466515921266
-2.58383,42.55319,0,5.0,14.0,1,,30,-1.69957779456698,-0.96071386986833,0.148080897507132
-2.57745,42.49126,1,,,0,234.0,29,-1.40999464898376,-2.72246891571094,-1.69332114361246
-2.43849,42.50396,1,,,0,44500.0,28,-1.69826599494436,-0.820520090779587,0.478940442040993
-2.58411693,42.5523665,0,,,0,23800.0,28,1.78373073386896,2.31498334028583,-0.782948829821624
-2.66465,42.54564,1,4.8,51.0,1,5500.0,28,2.06260103503365,1.19542233584558,0.247872857673359
-3.686687,41.726664,1,4.6,794.0,1,,27,6.72645279085017,-0.666155577146278,-0.322056957685419
-2.62192383,42.49627794,1,4.8,65.0,0,957.0,26,3.16470378187104,-1.28807482993874,-0.370980952786496
-2.60498,42.55796,0,4.9,58.0,0,23800.0,26,3.0679853298383,0.216168917505794,0.242184619158502
-2.60475,42.55912,0,4.7,10.0,0,416.0,26,-0.858845955782463,0.0838573736151309,-0.38895672188816
-2.79644,42.58909,1,4.8,45.0,0,,25,-0.818695934138225,0.118294156595222,-0.102531149967133
-2.66551,42.54945,0,4.8,37.0,0,3700.0,25,-0.468805981757661,1.31180678707055,-0.464290302145344
-2.68068,42.52807,1,4.9,7.0,0,2800.0,25,-0.0999870264451545,0.585971471672533,-0.034513897734164
-2.61569,42.51383,1,4.7,520.0,0,19600.0,24,2.55998017597763,3.8028753784157,-2.24745735789418
-2.51213,42.56175,0,,,0,792.0,24,-1.34217349102974,-0.113353434456994,0.0222482689636906
-2.54241,42.57096,0,,,0,,23,-1.41377336998789,0.0305697349388342,0.0266272659741138
-2.62372,42.54432,0,4.8,6.0,0,,23,-1.41751018211674,-0.125681735715214,0.585968769645355
-2.98221,42.98562,1,,,0,2300.0,23,-0.388483388719228,0.194469468105014,-0.174312472816474
-2.43597,42.504668,1,,,0,11300.0,22,0.212460064866397,-0.698954802381259,-0.628556960887931
-2.43597,42.504668,1,,,0,11300.0,22,-0.872003637671381,0.01881059409503,-0.62919023445277
-2.43597,42.504668,1,,,0,11300.0,22,-0.564327990147672,-0.186117779256458,-0.217376933239219
-2.66601,42.54508,1,,,0,2600.0,20,-0.489355431594163,-0.709911504287791,0.240031617595787
-2.66601,42.54508,1,,,0,2600.0,20,3.85852555546591,0.852221864238949,0.327299434645276
-2.4404,42.49589,1,,,0,1500.0,20,2.22110641635145,0.321537860601179,-0.643711457202212
-2.66475,42.54636,1,,,0,2600.0,20,1.01400719596491,3.73645714235516,-1.77168534603281
-2.665437,42.5470187,1,,,0,2600.0,19,1.40947646522688,3.2694407828759,-1.69393737951925
-2.54545,42.5695,0,4.3,6.0,0,597.0,18,0.333002741485128,0.96156443731751,-0.443409237244467
-2.80186,42.59122,1,4.4,14.0,0,56600.0,17,2.28367674619029,-0.0830993066786977,-1.36280169433898
-2.59473,42.55822,0,5.0,10.0,0,538.0,17,-1.0547132829555,0.624032613730619,-0.151438532671361
-2.60498,42.55796,0,,,0,23800.0,16,2.73530868083369,0.684713814680185,0.572091660252979
-2.58482,42.55418,0,,,0,2100.0,13,1.67161031554055,4.63727463063369,-0.911283828035145
-2.43597,42.504668,1,,,0,11300.0,13,3.75371327374528,-0.717738698476603,-0.796356231525455
